date_N,rolling_mean,rolling_std
2020-03-30 00:00:00+02:00,20.150333333333332,13.082320025369164
2020-03-31 00:00:00+02:00,20.41791666666667,13.168357502948188
2020-04-01 00:00:00+02:00,19.873013888888888,12.646971730957784
2020-04-02 00:00:00+02:00,19.643430555555558,12.286547774946659
2020-04-03 00:00:00+02:00,19.13073611111111,11.811339775893952
2020-04-04 00:00:00+02:00,18.707472222222222,11.361009793672007
2020-04-05 00:00:00+02:00,18.099458333333335,11.155789536337972
2020-04-06 00:00:00+02:00,17.994347222222224,11.25584345184799
2020-04-07 00:00:00+02:00,18.124513888888888,11.270815169698881
2020-04-08 00:00:00+02:00,18.09947222222222,11.32074220939991
2020-04-09 00:00:00+02:00,17.721777777777778,11.016698295831143
2020-04-10 00:00:00+02:00,17.271625000000004,10.650593315288264
2020-04-11 00:00:00+02:00,16.949430555555555,10.318899229881543
2020-04-12 00:00:00+02:00,16.458388888888887,10.448216924433327
2020-04-13 00:00:00+02:00,15.92463888888889,10.397063597047207
2020-04-14 00:00:00+02:00,16.625458333333334,11.213439337001077
2020-04-15 00:00:00+02:00,17.03713888888889,11.66852183511544
2020-04-16 00:00:00+02:00,17.308805555555555,11.84909314281316
2020-04-17 00:00:00+02:00,17.74076388888889,12.049150552638153
2020-04-18 00:00:00+02:00,17.535611111111113,11.768419654139041
2020-04-19 00:00:00+02:00,16.940958333333334,11.354242137563737
2020-04-20 00:00:00+02:00,17.191125,11.704094821444324
2020-04-21 00:00:00+02:00,17.839333333333336,11.992127266830774
2020-04-22 00:00:00+02:00,18.29508333333333,12.289970050073775
2020-04-23 00:00:00+02:00,18.81059722222222,12.492432905290183
2020-04-24 00:00:00+02:00,19.09776388888889,12.417985425599621
2020-04-25 00:00:00+02:00,18.665180555555555,12.374995077422913
2020-04-26 00:00:00+02:00,18.562763888888888,12.368533294419393
2020-04-27 00:00:00+02:00,19.238972222222223,12.361786503677745
2020-04-28 00:00:00+02:00,19.879638888888888,12.495577270769793
2020-04-29 00:00:00+02:00,19.866569444444444,12.547076760132448
2020-04-30 00:00:00+02:00,19.820541666666664,12.568633147860327
2020-05-01 00:00:00+02:00,19.491472222222225,12.702627384714061
2020-05-02 00:00:00+02:00,18.960430555555554,12.745957910996088
2020-05-03 00:00:00+02:00,18.79201388888889,12.811935074820651
2020-05-04 00:00:00+02:00,18.88373611111111,12.9181940164997
2020-05-05 00:00:00+02:00,19.158583333333333,12.823694643299534
2020-05-06 00:00:00+02:00,18.966055555555556,12.799475258594738
2020-05-07 00:00:00+02:00,18.984527777777775,12.751307519170801
2020-05-08 00:00:00+02:00,19.544527777777777,13.039986808499734
2020-05-09 00:00:00+02:00,19.463444444444445,13.09402131657466
2020-05-10 00:00:00+02:00,19.355277777777776,13.18573378482553
2020-05-11 00:00:00+02:00,19.435944444444445,13.244478585999126
2020-05-12 00:00:00+02:00,20.313277777777778,13.315910477919726
2020-05-13 00:00:00+02:00,21.127277777777778,13.361388929932325
2020-05-14 00:00:00+02:00,21.013944444444444,12.921293269118268
2020-05-15 00:00:00+02:00,20.771527777777777,12.63303312337564
2020-05-16 00:00:00+02:00,20.37201388888889,12.521165145712441
2020-05-17 00:00:00+02:00,19.67534722222222,12.34655716671346
2020-05-18 00:00:00+02:00,20.6495,14.39931193399397
2020-05-19 00:00:00+02:00,21.38740277777778,14.814558210411532
2020-05-20 00:00:00+02:00,21.417472222222223,14.890797430682447
2020-05-21 00:00:00+02:00,20.89711111111111,14.719663553212234
2020-05-22 00:00:00+02:00,20.572166666666668,14.660502262626919
2020-05-23 00:00:00+02:00,19.80240277777778,14.728109356129567
2020-05-24 00:00:00+02:00,19.428333333333335,14.909466455446731
2020-05-25 00:00:00+02:00,20.052208333333333,15.04674182285512
2020-05-26 00:00:00+02:00,20.75047222222222,15.269441709650053
2020-05-27 00:00:00+02:00,20.857097222222222,15.519591335022694
2020-05-28 00:00:00+02:00,20.556569444444445,15.528444510327823
2020-05-29 00:00:00+02:00,20.422958333333334,15.59397236527621
2020-05-30 00:00:00+02:00,19.94198611111111,15.624003770626878
2020-05-31 00:00:00+02:00,19.854125,15.722787350549002
2020-06-01 00:00:00+02:00,20.501375,15.907524349505517
2020-06-02 00:00:00+02:00,21.22213888888889,16.228324913369693
2020-06-03 00:00:00+02:00,21.683555555555554,16.540676455474774
2020-06-04 00:00:00+02:00,22.25611111111111,16.953814251633016
2020-06-05 00:00:00+02:00,22.817305555555553,17.053083006241764
2020-06-06 00:00:00+02:00,22.54861111111111,17.243179579713107
2020-06-07 00:00:00+02:00,21.871180555555554,17.25598052368614
2020-06-08 00:00:00+02:00,22.35625,17.3047094362132
2020-06-09 00:00:00+02:00,23.06297222222222,17.565022878031336
2020-06-10 00:00:00+02:00,23.182222222222222,17.682662483227755
2020-06-11 00:00:00+02:00,22.841916666666666,17.837135449675475
2020-06-12 00:00:00+02:00,22.56625,17.924037762981587
2020-06-13 00:00:00+02:00,21.840111111111113,18.117897213289098
2020-06-14 00:00:00+02:00,20.986708333333333,18.217693179507773
2020-06-15 00:00:00+02:00,21.66283333333333,18.807762942425395
2020-06-16 00:00:00+02:00,22.386750000000003,19.277030109434797
2020-06-17 00:00:00+02:00,22.022236111111113,18.337989998643508
2020-06-18 00:00:00+02:00,22.01076388888889,18.360972763835235
2020-06-19 00:00:00+02:00,21.340069444444445,18.285914842750934
2020-06-20 00:00:00+02:00,21.172305555555557,18.397867127575385
2020-06-21 00:00:00+02:00,20.883583333333334,18.37373768875229
2020-06-22 00:00:00+02:00,21.95886111111111,18.71772299706536
2020-06-23 00:00:00+02:00,23.301041666666666,19.288255873191183
2020-06-24 00:00:00+02:00,23.831111111111113,19.539134857386088
2020-06-25 00:00:00+02:00,25.418305555555555,24.359189420524743
2020-06-26 00:00:00+02:00,26.025125,24.72017553952235
2020-06-27 00:00:00+02:00,26.39702777777778,24.690164248645605
2020-06-28 00:00:00+02:00,26.597583333333333,24.59912515250145
2020-06-29 00:00:00+02:00,27.350638888888888,24.63247999697286
2020-06-30 00:00:00+02:00,28.25625,24.486773702045536
2020-07-01 00:00:00+02:00,28.279041666666668,24.52098144588007
2020-07-02 00:00:00+02:00,28.465902777777778,24.525025946040454
2020-07-03 00:00:00+02:00,28.130708333333335,24.472945254464697
2020-07-04 00:00:00+02:00,27.056805555555556,24.63963265052225
2020-07-05 00:00:00+02:00,26.198222222222224,24.872641731628292
2020-07-06 00:00:00+02:00,26.18863888888889,24.888502801880414
2020-07-07 00:00:00+02:00,26.478388888888887,24.761475852889475
2020-07-08 00:00:00+02:00,26.48301388888889,24.735078511791873
2020-07-09 00:00:00+02:00,26.453180555555555,24.607498767090522
2020-07-10 00:00:00+02:00,26.229722222222225,24.5286570997284
2020-07-11 00:00:00+02:00,25.92201388888889,24.39582650813671
2020-07-12 00:00:00+02:00,25.59369444444445,24.30265379754456
2020-07-13 00:00:00+02:00,26.243097222222225,24.003115096666168
2020-07-14 00:00:00+02:00,26.965069444444442,23.662992543815967
2020-07-15 00:00:00+02:00,26.668097222222222,23.26461236996844
2020-07-16 00:00:00+02:00,26.555319444444443,22.874079180765097
2020-07-17 00:00:00+02:00,26.619833333333332,22.764600828396212
2020-07-18 00:00:00+02:00,25.952916666666663,22.612708031089625
2020-07-19 00:00:00+02:00,26.03133333333333,22.560253734553953
2020-07-20 00:00:00+02:00,26.800694444444446,22.504918437936226
2020-07-21 00:00:00+02:00,27.198930555555556,22.39241243054678
2020-07-22 00:00:00+02:00,26.339180555555554,22.218040803767956
2020-07-23 00:00:00+02:00,25.27048611111111,21.74638521045839
2020-07-24 00:00:00+02:00,24.231277777777777,21.543770531471946
2020-07-25 00:00:00+02:00,21.956680555555558,15.65573739701858
2020-07-26 00:00:00+02:00,20.86190277777778,14.617454286219889
2020-07-27 00:00:00+02:00,20.47147222222222,14.4462853934225
2020-07-28 00:00:00+02:00,20.370930555555557,14.575181883917399
2020-07-29 00:00:00+02:00,20.055444444444444,14.183641641184137
2020-07-30 00:00:00+02:00,19.806055555555556,13.970882525826921
2020-07-31 00:00:00+02:00,19.910375000000002,14.037554875009942
2020-08-01 00:00:00+02:00,19.765847222222224,13.656775261637097
2020-08-02 00:00:00+02:00,19.828291666666665,13.55885174482113
2020-08-03 00:00:00+02:00,21.013666666666666,13.722274194467563
2020-08-04 00:00:00+02:00,22.08501388888889,13.799839036767688
2020-08-05 00:00:00+02:00,23.32652777777778,14.107585966680995
2020-08-06 00:00:00+02:00,24.252986111111113,14.576457368975873
2020-08-07 00:00:00+02:00,24.77444444444444,14.851853762800955
2020-08-08 00:00:00+02:00,24.68409722222222,14.640884408502655
2020-08-09 00:00:00+02:00,24.938208333333332,14.595736102117533
2020-08-10 00:00:00+02:00,25.861777777777778,14.727458460925371
