"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 12:00:00 - 01/01/2024 12:15:00","BZN|FI","1461.90","1778.40","2733.40","2428.00"
"01/01/2024 12:15:00 - 01/01/2024 12:30:00","BZN|FI","1483.70","1754.20","2729.10","2444.40"
"01/01/2024 12:30:00 - 01/01/2024 12:45:00","BZN|FI","1517.70","1744.80","2722.00","2415.40"
"01/01/2024 12:45:00 - 01/01/2024 13:00:00","BZN|FI","1566.40","1741.60","2706.10","2399.70"
"01/01/2024 13:00:00 - 01/01/2024 13:15:00","BZN|FI","1636.90","1746.30","2570.90","2457.40"
"01/01/2024 13:15:00 - 01/01/2024 13:30:00","BZN|FI","1698.30","1760.90","2571.50","2471.00"
"01/01/2024 13:30:00 - 01/01/2024 13:45:00","BZN|FI","1755.20","1782.80","2572.80","2438.20"
"01/01/2024 13:45:00 - 01/01/2024 14:00:00","BZN|FI","1819.70","1820.50","2574.20","2387.10"
"01/01/2024 14:00:00 - 01/01/2024 14:15:00","BZN|FI","1892.90","1881.20","2531.70","2410.80"
"01/01/2024 14:15:00 - 01/01/2024 14:30:00","BZN|FI","1958.10","1928.00","2534.90","2438.60"
"01/01/2024 14:30:00 - 01/01/2024 14:45:00","BZN|FI","2016.60","1966.90","2540.40","2516.00"
"01/01/2024 14:45:00 - 01/01/2024 15:00:00","BZN|FI","2079.80","2011.30","2551.30","2574.60"
"01/01/2024 15:00:00 - 01/01/2024 15:15:00","BZN|FI","2151.80","2062.00","2624.10","2626.30"
"01/01/2024 15:15:00 - 01/01/2024 15:30:00","BZN|FI","2204.40","2102.00","2628.80","2661.70"
"01/01/2024 15:30:00 - 01/01/2024 15:45:00","BZN|FI","2243.90","2134.30","2635.30","2660.80"
"01/01/2024 15:45:00 - 01/01/2024 16:00:00","BZN|FI","2272.80","2164.00","2655.50","2622.30"
"01/01/2024 16:00:00 - 01/01/2024 16:15:00","BZN|FI","2285.80","2190.80","2745.10","2590.50"
"01/01/2024 16:15:00 - 01/01/2024 16:30:00","BZN|FI","2301.60","2211.10","2746.70","2549.00"
"01/01/2024 16:30:00 - 01/01/2024 16:45:00","BZN|FI","2316.80","2226.60","2747.40","2496.30"
"01/01/2024 16:45:00 - 01/01/2024 17:00:00","BZN|FI","2326.70","2233.60","2757.40","2438.00"
"01/01/2024 17:00:00 - 01/01/2024 17:15:00","BZN|FI","2332.70","2228.00","2834.90","2367.70"
"01/01/2024 17:15:00 - 01/01/2024 17:30:00","BZN|FI","2334.10","2229.40","2831.60","2332.50"
"01/01/2024 17:30:00 - 01/01/2024 17:45:00","BZN|FI","2332.00","2234.50","2824.40","2352.00"
"01/01/2024 17:45:00 - 01/01/2024 18:00:00","BZN|FI","2322.60","2236.80","2815.90","2401.70"
"01/01/2024 18:00:00 - 01/01/2024 18:15:00","BZN|FI","2302.70","2236.30","2652.80","2464.90"
"01/01/2024 18:15:00 - 01/01/2024 18:30:00","BZN|FI","2288.70","2239.70","2648.70","2525.10"
"01/01/2024 18:30:00 - 01/01/2024 18:45:00","BZN|FI","2277.60","2243.50","2640.20","2571.10"
"01/01/2024 18:45:00 - 01/01/2024 19:00:00","BZN|FI","2264.60","2254.40","2628.10","2605.20"
"01/01/2024 19:00:00 - 01/01/2024 19:15:00","BZN|FI","2250.00","2278.90","2495.40","2661.10"
"01/01/2024 19:15:00 - 01/01/2024 19:30:00","BZN|FI","2237.30","2284.30","2489.30","2646.60"
"01/01/2024 19:30:00 - 01/01/2024 19:45:00","BZN|FI","2225.50","2277.50","2477.90","2653.20"
"01/01/2024 19:45:00 - 01/01/2024 20:00:00","BZN|FI","2214.60","2263.60","2457.90","2679.00"
"01/01/2024 20:00:00 - 01/01/2024 20:15:00","BZN|FI","2205.20","2238.50","2542.30","2645.70"
"01/01/2024 20:15:00 - 01/01/2024 20:30:00","BZN|FI","2194.70","2214.00","2532.10","2571.30"
"01/01/2024 20:30:00 - 01/01/2024 20:45:00","BZN|FI","2183.40","2188.60","2514.40","2538.10"
"01/01/2024 20:45:00 - 01/01/2024 21:00:00","BZN|FI","2172.40","2156.20","2479.10","2545.20"
"01/01/2024 21:00:00 - 01/01/2024 21:15:00","BZN|FI","2161.80","2114.70","2541.30","2556.00"
"01/01/2024 21:15:00 - 01/01/2024 21:30:00","BZN|FI","2150.20","2077.90","2530.50","2542.60"
"01/01/2024 21:30:00 - 01/01/2024 21:45:00","BZN|FI","2137.90","2044.90","2511.90","2534.80"
"01/01/2024 21:45:00 - 01/01/2024 22:00:00","BZN|FI","2125.00","2005.40","2473.50","2519.10"
