"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|FI","212.95","190.26","190.26","197.78"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|FI","206.88","189.41","189.41","201.12"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|FI","206.07","196.92","196.92","187.06"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|FI","206.08","176.70","176.70","183.25"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|FI","213.80","192.30","192.30","182.85"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|FI","217.37","211.57","211.57","201.38"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|FI","216.60","211.50","219.50","210.54"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|FI","215.98","211.61","200.17","192.47"
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|FI","215.12","211.48","164.43","156.30"
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|FI","219.29","216.38","151.88","143.52"
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|FI","222.26","220.07","141.85","134.16"
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|FI","220.61","219.15","136.90","126.69"
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|FI","220.36","219.63","125.54","118.21"
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|FI","219.93","219.93","125.50","118.84"
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|FI","218.83","218.83","124.59","118.40"
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|FI","216.78","216.78","101.11","96.24"
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|FI","215.96","215.96","105.46","95.10"
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|FI","215.88","215.88","122.35","109.42"
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|FI","213.07","213.07","100.42","89.48"
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|FI","210.85","210.85","86.84","73.82"
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|FI","210.14","210.14","96.02","77.79"
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|FI","207.69","207.69","80.17","72.13"
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|FI","205.29","205.29","93.72","81.07"
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|FI","207.13","207.13","91.18","75.58"
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|FI","205.77","73.08","73.08","55.46"
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|FI","204.55","54.57","54.57","41.68"
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|FI","204.28","57.81","57.81","48.17"
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|FI","204.23","67.01","67.01","56.29"
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|FI","211.89","78.10","78.10","72.39"
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|FI","216.87","83.21","83.21","78.29"
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|FI","216.28","98.97","89.85","81.56"
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|FI","214.97","114.42","96.98","92.45"
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|FI","213.99","130.21","116.07","108.86"
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|FI","218.43","151.39","130.28","129.99"
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|FI","223.31","173.03","152.28","152.03"
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|FI","219.80","186.29","207.21","202.05"
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|FI","219.19","202.44","254.20","255.60"
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|FI","220.74","220.74","284.18","278.93"
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|FI","218.59","218.59","329.40","338.57"
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","BZN|FI","216.72","216.72","368.06","381.32"
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","BZN|FI","216.59","216.59","388.76","413.78"
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","BZN|FI","217.15","217.15","421.51","439.16"
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","BZN|FI","213.88","213.88","437.48","457.59"
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","BZN|FI","210.15","210.15","454.87","465.16"
"02/01/2021 20:00:00 - 02/01/2021 21:00:00","BZN|FI","206.10","206.10","480.29","501.23"
"02/01/2021 21:00:00 - 02/01/2021 22:00:00","BZN|FI","201.76","201.76","552.92","561.26"
