"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|FI","2685.40","2655.40","2751.30","2482.20"
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|FI","2648.10","2671.00","2741.30","2515.40"
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|FI","2610.80","2686.60","2731.40","2516.90"
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|FI","2573.50","2702.20","2721.40","2595.00"
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|FI","2444.60","2772.40","2641.50","2720.60"
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|FI","2381.40","2819.20","2620.00","2741.30"
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|FI","2318.20","2819.20","2598.50","2798.80"
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|FI","2254.90","2772.40","2577.10","2746.20"
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|FI","2189.20","2595.40","2451.20","2602.30"
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|FI","2145.40","2541.10","2430.80","2533.10"
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|FI","2101.60","2486.80","2410.50","2395.70"
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|FI","2057.80","2432.50","2390.10","2299.90"
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|FI","2054.60","2424.50","2510.40","2233.90"
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|FI","2017.90","2382.50","2488.10","2206.30"
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|FI","1981.10","2340.40","2465.80","2198.20"
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|FI","1944.30","2298.30","2443.40","2241.30"
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|FI","1901.60","2259.60","2273.20","2186.30"
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|FI","1853.40","2204.70","2252.40","2116.00"
