"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|FI","1813.22","1438.26","1445.45","1450.40"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|FI","1867.89","1531.88","1532.19","1538.80"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|FI","1951.07","1589.23","1586.09","1591.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|FI","2031.25","1758.65","1757.45","1749.30"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|FI","2081.93","1798.89","1799.73","1806.80"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|FI","2123.66","1880.96","1883.23","1898.50"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|FI","2143.28","1895.23","1991.62","2014.20"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|FI","2128.79","1884.29","1983.57","1990.20"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|FI","2095.73","1857.32","1957.49","1976.20"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|FI","2061.21","1827.53","1920.09","1951.70"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|FI","2026.47","1810.62","1889.64","1924.70"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|FI","2003.39","1824.34","1766.02","1802.20"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|FI","1990.01","1843.89","1782.23","1811.60"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|FI","1974.32","1855.72","1903.31","1935.80"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|FI","1954.87","1862.57","1857.09","1875.40"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|FI","1915.85","1844.74","1792.16","1807.90"
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|FI","1840.21","1771.75","1671.26","1697.40"
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|FI","1737.96","1644.34","1561.24","1573.10"
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|FI","1624.48","1449.49","1422.37","1427.80"
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|FI","1481.34","1270.65","1208.12","1218.50"
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|FI","1344.42","1093.36","1009.56","1020.40"
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|FI","1215.13","950.33","886.98","878.32"
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|FI","1033.55","827.26","742.57","702.86"
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|FI","820.59","674.84","525.44","512.12"
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|FI","495.30","486.38","483.13","463.33"
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|FI","542.43","617.09","615.24","600.88"
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|FI","642.04","785.42","785.50","802.56"
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|FI","751.33","837.84","838.26","876.17"
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|FI","837.41","946.38","946.96","974.34"
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|FI","896.51","1053.00","1054.11","1088.70"
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|FI","1023.11","1195.74","1122.76","1156.50"
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|FI","1193.26","1411.29","1316.95","1338.00"
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|FI","1381.11","1584.07","1563.27","1571.30"
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|FI","1518.02","1694.20","1715.57","1706.10"
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|FI","1564.78","1749.59","1727.43","1698.10"
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|FI","1586.35","1728.45","1622.37","1572.10"
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|FI","1618.93","1737.98","1526.20","1474.40"
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|FI","1659.32","1798.32","1617.76","1548.20"
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|FI","1693.83","1867.73","1672.52","1597.10"
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|FI","1747.57","1890.25","1717.33","1638.30"
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|FI","1804.22","1903.83","1792.92","1716.20"
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|FI","1798.51","1917.08","1859.95","1783.30"
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|FI","1775.55","1928.49","1938.78","1858.70"
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|FI","1819.26","1951.66","1934.03","1861.10"
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|FI","1840.10","1942.49","1928.67","1863.80"
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|FI","1870.13","1933.54","1931.49","1872.60"
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|FI","1903.57","1950.20","1901.12","1857.40"
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|FI","1905.01","1948.62","1851.44","1798.40"
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|FI","1934.05","1779.06","1775.58","1734.80"
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|FI","1881.77","1700.03","1696.00","1651.40"
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|FI","1830.35","1535.22","1532.59","1484.00"
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|FI","1790.80","1489.90","1488.23","1439.30"
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|FI","1765.40","1421.28","1420.20","1373.00"
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|FI","1747.74","1325.50","1322.96","1277.90"
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|FI","1761.42","1362.56","1274.33","1236.30"
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|FI","1787.55","1373.78","1267.08","1235.10"
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|FI","1786.18","1367.11","1304.53","1261.40"
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|FI","1748.58","1406.64","1333.06","1298.50"
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|FI","1690.90","1455.75","1356.97","1321.30"
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|FI","1674.28","1504.59","1298.14","1220.60"
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|FI","1802.82","1615.78","1140.95","1096.70"
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|FI","1901.25","1729.10","1087.92","1052.10"
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|FI","1928.00","1747.57","1041.80","1010.50"
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|FI","1920.36","1773.30","1018.49","986.27"
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|FI","1930.51","1803.04","1011.66","978.55"
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|FI","1966.74","1836.90","997.53","961.62"
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|FI","2034.18","1885.59","1006.71","965.40"
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|FI","2102.40","1931.57","1016.74","967.92"
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|FI","2144.94","1973.55","1029.58","981.51"
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|FI","2182.48","2024.85","1028.57","979.90"
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|FI","2221.09","2100.67","1233.28","958.47"
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|FI","2251.03","2184.54","1029.59","976.21"
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|FI","2123.75","1099.75","1098.50","1042.20"
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|FI","2179.87","1088.15","1089.49","1032.00"
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|FI","2246.95","1113.44","1116.77","1052.40"
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|FI","2312.05","1166.51","1169.91","1096.00"
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|FI","2393.33","1206.13","1208.09","1145.20"
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|FI","2463.31","1254.07","1254.88","1199.10"
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|FI","2511.49","1446.89","1322.04","1267.40"
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|FI","2515.40","1629.80","1379.52","1329.40"
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|FI","2495.67","1797.75","1417.07","1367.60"
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|FI","2441.91","1939.61","1453.72","1405.60"
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|FI","2384.91","2053.16","1483.86","1435.70"
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|FI","2332.35","2132.76","1447.88","1395.40"
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|FI","2277.44","2200.48","1427.64","1362.70"
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|FI","2228.84","2157.87","1449.26","1386.10"
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|FI","2164.29","2052.62","1496.75","1441.50"
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|FI","2112.64","2018.18","1559.34","1497.40"
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|FI","2065.32","2035.21","1550.88","1490.00"
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|FI","1929.50","1981.48","1509.63","1460.10"
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|FI","1812.32","1941.13","1388.55","1344.20"
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|FI","1886.42","2013.81","1326.34","1270.00"
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|FI","1785.86","1888.31","1223.80","1176.70"
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|FI","1626.22","1768.57","1152.15","1112.80"
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|FI","1528.26","1678.30","1043.95","992.34"
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|FI","1437.64","1579.66","918.30","888.63"
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|FI","1363.68","819.28","820.65","795.66"
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|FI","1269.58","708.95","708.36","688.34"
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|FI","1186.94","622.75","620.23","604.70"
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|FI","1110.80","601.42","600.01","584.06"
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|FI","1044.12","461.35","461.34","450.72"
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|FI","1005.95","382.53","382.49","368.96"
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","BZN|FI","926.83","393.40","322.43","307.57"
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","BZN|FI","821.20","379.07","289.55","275.29"
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","BZN|FI","720.78","329.50","240.92","230.34"
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","BZN|FI","623.21","318.13","214.04","198.08"
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","BZN|FI","518.15","302.44","164.89","142.43"
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","BZN|FI","417.38","281.24","115.38","101.94"
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","BZN|FI","306.98","238.41","112.39","111.07"
