"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","BZN|FI","233.29","237.42","147.66","152.77"
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","BZN|FI","231.26","336.97","234.32","212.18"
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","BZN|FI","326.83","521.59","307.67","286.99"
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","BZN|FI","462.24","666.60","400.79","392.16"
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","BZN|FI","612.87","872.77","477.03","476.18"
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","BZN|FI","820.19","1028.79","616.63","596.29"
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","BZN|FI","1008.49","1166.65","701.88","673.76"
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","BZN|FI","1158.79","1275.34","707.78","693.86"
"05/01/2022 21:00:00 - 05/01/2022 22:00:00","BZN|FI","1228.69","1334.69","766.99","756.19"
"05/01/2022 22:00:00 - 05/01/2022 23:00:00","BZN|FI","1263.42","1400.96","843.83","781.90"
"05/01/2022 23:00:00 - 06/01/2022 00:00:00","BZN|FI","1285.64","1426.30","775.15","785.51"
"06/01/2022 00:00:00 - 06/01/2022 01:00:00","BZN|FI","1335.71","811.55","809.30","795.08"
"06/01/2022 01:00:00 - 06/01/2022 02:00:00","BZN|FI","1312.39","810.88","811.89","801.54"
"06/01/2022 02:00:00 - 06/01/2022 03:00:00","BZN|FI","1288.04","883.66","884.77","878.68"
"06/01/2022 03:00:00 - 06/01/2022 04:00:00","BZN|FI","1222.21","867.81","869.25","878.39"
"06/01/2022 04:00:00 - 06/01/2022 05:00:00","BZN|FI","1152.14","861.69","865.19","872.90"
"06/01/2022 05:00:00 - 06/01/2022 06:00:00","BZN|FI","1109.51","995.86","1000.75","1010.70"
"06/01/2022 06:00:00 - 06/01/2022 07:00:00","BZN|FI","1106.51","1091.80","1148.52","1143.00"
"06/01/2022 07:00:00 - 06/01/2022 08:00:00","BZN|FI","1119.20","1223.63","1376.60","1378.10"
"06/01/2022 08:00:00 - 06/01/2022 09:00:00","BZN|FI","1131.45","1343.41","1662.34","1666.70"
"06/01/2022 09:00:00 - 06/01/2022 10:00:00","BZN|FI","1167.12","1474.51","1699.15","1707.40"
"06/01/2022 10:00:00 - 06/01/2022 11:00:00","BZN|FI","1196.69","1567.39","1644.70","1660.90"
"06/01/2022 11:00:00 - 06/01/2022 12:00:00","BZN|FI","1221.80","1550.25","1632.62","1651.00"
"06/01/2022 12:00:00 - 06/01/2022 13:00:00","BZN|FI","1279.58","1548.66","1571.07","1583.70"
"06/01/2022 13:00:00 - 06/01/2022 14:00:00","BZN|FI","1378.69","1545.34","1494.84","1520.30"
"06/01/2022 14:00:00 - 06/01/2022 15:00:00","BZN|FI","1532.80","1502.62","1625.55","1660.50"
"06/01/2022 15:00:00 - 06/01/2022 16:00:00","BZN|FI","1683.51","1563.40","1735.94","1763.30"
"06/01/2022 16:00:00 - 06/01/2022 17:00:00","BZN|FI","1779.32","1634.95","1772.29","1795.50"
"06/01/2022 17:00:00 - 06/01/2022 18:00:00","BZN|FI","1797.22","1733.38","1825.12","1842.80"
"06/01/2022 18:00:00 - 06/01/2022 19:00:00","BZN|FI","1743.70","1833.08","1963.73","1978.80"
"06/01/2022 19:00:00 - 06/01/2022 20:00:00","BZN|FI","1711.40","1883.85","1988.86","1996.90"
"06/01/2022 20:00:00 - 06/01/2022 21:00:00","BZN|FI","1700.15","1886.08","1912.25","1923.60"
"06/01/2022 21:00:00 - 06/01/2022 22:00:00","BZN|FI","1684.93","1872.93","1889.18","1887.20"
"06/01/2022 22:00:00 - 06/01/2022 23:00:00","BZN|FI","1694.03","1858.14","1948.85","1838.80"
"06/01/2022 23:00:00 - 07/01/2022 00:00:00","BZN|FI","1717.00","1859.04","1922.73","1904.00"
"07/01/2022 00:00:00 - 07/01/2022 01:00:00","BZN|FI","2017.11","1964.12","1965.17","1945.30"
"07/01/2022 01:00:00 - 07/01/2022 02:00:00","BZN|FI","2011.10","2133.52","2132.77","2113.30"
"07/01/2022 02:00:00 - 07/01/2022 03:00:00","BZN|FI","1961.89","2137.08","2132.58","2130.50"
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","BZN|FI","1905.59","2096.52","2091.03","2084.00"
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","BZN|FI","1863.28","2065.66","2065.27","2043.90"
"07/01/2022 05:00:00 - 07/01/2022 06:00:00","BZN|FI","1816.04","2089.68","2094.96","2067.30"
"07/01/2022 06:00:00 - 07/01/2022 07:00:00","BZN|FI","1742.98","1974.66","1987.44","1949.40"
"07/01/2022 07:00:00 - 07/01/2022 08:00:00","BZN|FI","1655.80","1861.30","1822.34","1794.20"
"07/01/2022 08:00:00 - 07/01/2022 09:00:00","BZN|FI","1556.20","1743.06","1722.40","1696.80"
"07/01/2022 09:00:00 - 07/01/2022 10:00:00","BZN|FI","1449.74","1604.07","1608.39","1613.70"
"07/01/2022 10:00:00 - 07/01/2022 11:00:00","BZN|FI","1340.55","1456.52","1479.65","1495.90"
"07/01/2022 11:00:00 - 07/01/2022 12:00:00","BZN|FI","1229.82","1335.46","1361.46","1389.90"
"07/01/2022 12:00:00 - 07/01/2022 13:00:00","BZN|FI","1135.87","1237.77","1246.29","1268.60"
"07/01/2022 13:00:00 - 07/01/2022 14:00:00","BZN|FI","1066.96","1137.62","1134.64","1159.20"
"07/01/2022 14:00:00 - 07/01/2022 15:00:00","BZN|FI","990.83","1068.88","1141.05","1158.70"
"07/01/2022 15:00:00 - 07/01/2022 16:00:00","BZN|FI","910.04","1000.86","1114.92","1126.10"
"07/01/2022 16:00:00 - 07/01/2022 17:00:00","BZN|FI","836.05","932.64","1059.97","1070.80"
"07/01/2022 17:00:00 - 07/01/2022 18:00:00","BZN|FI","759.51","842.79","978.23","996.22"
"07/01/2022 18:00:00 - 07/01/2022 19:00:00","BZN|FI","677.90","726.89","933.31","944.68"
"07/01/2022 19:00:00 - 07/01/2022 20:00:00","BZN|FI","586.29","597.14","873.93","868.97"
"07/01/2022 20:00:00 - 07/01/2022 21:00:00","BZN|FI","477.66","467.10","771.39","774.10"
"07/01/2022 21:00:00 - 07/01/2022 22:00:00","BZN|FI","360.53","358.87","559.66","559.98"
"07/01/2022 22:00:00 - 07/01/2022 23:00:00","BZN|FI","245.37","260.16","402.95","327.68"
"07/01/2022 23:00:00 - 08/01/2022 00:00:00","BZN|FI","168.56","187.81","204.10","214.78"
"08/01/2022 00:00:00 - 08/01/2022 01:00:00","BZN|FI","152.26","154.76","153.95","155.02"
"08/01/2022 01:00:00 - 08/01/2022 02:00:00","BZN|FI","130.67","129.54","129.54","112.48"
"08/01/2022 02:00:00 - 08/01/2022 03:00:00","BZN|FI","118.63","127.28","127.20","108.47"
"08/01/2022 03:00:00 - 08/01/2022 04:00:00","BZN|FI","141.00","149.74","149.79","131.25"
"08/01/2022 04:00:00 - 08/01/2022 05:00:00","BZN|FI","191.60","185.78","185.71","169.29"
"08/01/2022 05:00:00 - 08/01/2022 06:00:00","BZN|FI","237.86","243.27","240.47","231.56"
"08/01/2022 06:00:00 - 08/01/2022 07:00:00","BZN|FI","310.94","306.96","278.95","268.97"
"08/01/2022 07:00:00 - 08/01/2022 08:00:00","BZN|FI","402.92","388.82","342.75","340.21"
"08/01/2022 08:00:00 - 08/01/2022 09:00:00","BZN|FI","515.67","485.17","439.52","437.24"
"08/01/2022 09:00:00 - 08/01/2022 10:00:00","BZN|FI","651.44","611.62","611.69","601.96"
"08/01/2022 10:00:00 - 08/01/2022 11:00:00","BZN|FI","756.51","736.35","684.23","671.86"
"08/01/2022 11:00:00 - 08/01/2022 12:00:00","BZN|FI","795.16","763.10","710.10","698.48"
"08/01/2022 12:00:00 - 08/01/2022 13:00:00","BZN|FI","806.58","774.91","761.60","744.75"
"08/01/2022 13:00:00 - 08/01/2022 14:00:00","BZN|FI","837.30","814.72","818.47","796.61"
"08/01/2022 14:00:00 - 08/01/2022 15:00:00","BZN|FI","899.19","845.34","911.17","870.49"
"08/01/2022 15:00:00 - 08/01/2022 16:00:00","BZN|FI","962.13","878.42","1054.25","1009.50"
"08/01/2022 16:00:00 - 08/01/2022 17:00:00","BZN|FI","1003.88","922.22","1173.28","1147.10"
"08/01/2022 17:00:00 - 08/01/2022 18:00:00","BZN|FI","1029.64","964.14","1162.19","1141.10"
"08/01/2022 18:00:00 - 08/01/2022 19:00:00","BZN|FI","1041.81","980.61","1176.66","1151.40"
"08/01/2022 19:00:00 - 08/01/2022 20:00:00","BZN|FI","1033.95","972.78","1192.80","1176.70"
"08/01/2022 20:00:00 - 08/01/2022 21:00:00","BZN|FI","998.10","941.82","1103.99","1078.30"
"08/01/2022 21:00:00 - 08/01/2022 22:00:00","BZN|FI","957.55","905.54","1030.08","1026.50"
"08/01/2022 22:00:00 - 08/01/2022 23:00:00","BZN|FI","914.62","852.48","956.67","963.10"
"08/01/2022 23:00:00 - 09/01/2022 00:00:00","BZN|FI","872.13","792.13","853.21","863.82"
"09/01/2022 00:00:00 - 09/01/2022 01:00:00","BZN|FI","711.44","728.20","725.87","743.24"
"09/01/2022 01:00:00 - 09/01/2022 02:00:00","BZN|FI","651.41","602.37","600.44","615.05"
"09/01/2022 02:00:00 - 09/01/2022 03:00:00","BZN|FI","595.48","521.70","519.08","526.95"
"09/01/2022 03:00:00 - 09/01/2022 04:00:00","BZN|FI","548.90","433.58","430.84","436.46"
"09/01/2022 04:00:00 - 09/01/2022 05:00:00","BZN|FI","503.19","384.83","381.14","387.15"
"09/01/2022 05:00:00 - 09/01/2022 06:00:00","BZN|FI","472.52","306.33","302.30","307.11"
"09/01/2022 06:00:00 - 09/01/2022 07:00:00","BZN|FI","453.27","307.79","233.58","238.12"
"09/01/2022 07:00:00 - 09/01/2022 08:00:00","BZN|FI","435.79","312.81","202.65","206.10"
"09/01/2022 08:00:00 - 09/01/2022 09:00:00","BZN|FI","413.86","325.98","211.18","209.39"
"09/01/2022 09:00:00 - 09/01/2022 10:00:00","BZN|FI","387.41","331.31","230.10","229.48"
"09/01/2022 10:00:00 - 09/01/2022 11:00:00","BZN|FI","365.59","324.00","239.23","244.98"
"09/01/2022 11:00:00 - 09/01/2022 12:00:00","BZN|FI","336.54","321.19","254.13","252.72"
"09/01/2022 12:00:00 - 09/01/2022 13:00:00","BZN|FI","304.39","316.29","228.09","226.88"
"09/01/2022 13:00:00 - 09/01/2022 14:00:00","BZN|FI","305.48","332.27","214.27","203.02"
"09/01/2022 14:00:00 - 09/01/2022 15:00:00","BZN|FI","334.77","384.19","225.83","218.85"
"09/01/2022 15:00:00 - 09/01/2022 16:00:00","BZN|FI","378.89","435.45","265.53","262.73"
"09/01/2022 16:00:00 - 09/01/2022 17:00:00","BZN|FI","415.05","434.59","298.59","294.48"
"09/01/2022 17:00:00 - 09/01/2022 18:00:00","BZN|FI","422.01","408.01","310.88","311.06"
"09/01/2022 18:00:00 - 09/01/2022 19:00:00","BZN|FI","410.10","404.23","334.68","337.52"
"09/01/2022 19:00:00 - 09/01/2022 20:00:00","BZN|FI","403.70","391.17","356.37","361.59"
"09/01/2022 20:00:00 - 09/01/2022 21:00:00","BZN|FI","378.06","374.34","337.98","333.08"
"09/01/2022 21:00:00 - 09/01/2022 22:00:00","BZN|FI","361.14","354.76","298.51","290.20"
"09/01/2022 22:00:00 - 09/01/2022 23:00:00","BZN|FI","356.32","333.58","293.75","225.54"
"09/01/2022 23:00:00 - 10/01/2022 00:00:00","BZN|FI","349.98","314.50","182.37","164.44"
"10/01/2022 00:00:00 - 10/01/2022 01:00:00","BZN|FI","282.99","147.81","147.48","125.37"
"10/01/2022 01:00:00 - 10/01/2022 02:00:00","BZN|FI","281.49","145.71","144.48","121.51"
"10/01/2022 02:00:00 - 10/01/2022 03:00:00","BZN|FI","281.82","126.71","124.97","99.15"
"10/01/2022 03:00:00 - 10/01/2022 04:00:00","BZN|FI","255.91","126.19","124.78","100.23"
"10/01/2022 04:00:00 - 10/01/2022 05:00:00","BZN|FI","215.82","109.85","109.71","87.98"
"10/01/2022 05:00:00 - 10/01/2022 06:00:00","BZN|FI","196.28","105.30","106.05","81.93"
"10/01/2022 06:00:00 - 10/01/2022 07:00:00","BZN|FI","189.56","117.14","105.94","82.32"
"10/01/2022 07:00:00 - 10/01/2022 08:00:00","BZN|FI","193.95","128.91","92.34","68.98"
"10/01/2022 08:00:00 - 10/01/2022 09:00:00","BZN|FI","189.50","137.84","97.15","74.91"
"10/01/2022 09:00:00 - 10/01/2022 10:00:00","BZN|FI","165.95","131.19","106.12","81.44"
"10/01/2022 10:00:00 - 10/01/2022 11:00:00","BZN|FI","116.32","125.22","91.68","67.41"
"10/01/2022 11:00:00 - 10/01/2022 12:00:00","BZN|FI","74.63","159.09","80.22","60.43"
"10/01/2022 12:00:00 - 10/01/2022 13:00:00","BZN|FI","76.15","217.45","97.47","79.73"
"10/01/2022 13:00:00 - 10/01/2022 14:00:00","BZN|FI","103.43","223.60","116.47","95.85"
"10/01/2022 14:00:00 - 10/01/2022 15:00:00","BZN|FI","164.76","232.83","132.89","107.97"
"10/01/2022 15:00:00 - 10/01/2022 16:00:00","BZN|FI","211.28","302.71","142.82","121.13"
"10/01/2022 16:00:00 - 10/01/2022 17:00:00","BZN|FI","278.87","380.19","171.80","148.13"
"10/01/2022 17:00:00 - 10/01/2022 18:00:00","BZN|FI","376.44","440.22","190.31","164.45"
"10/01/2022 18:00:00 - 10/01/2022 19:00:00","BZN|FI","486.12","503.32","295.69","267.36"
"10/01/2022 19:00:00 - 10/01/2022 20:00:00","BZN|FI","559.77","584.58","434.62","409.08"
"10/01/2022 20:00:00 - 10/01/2022 21:00:00","BZN|FI","636.66","719.94","583.66","572.72"
"10/01/2022 21:00:00 - 10/01/2022 22:00:00","BZN|FI","775.11","904.64","755.19","772.27"
"10/01/2022 22:00:00 - 10/01/2022 23:00:00","BZN|FI","958.50","1062.22","972.74","1059.00"
"10/01/2022 23:00:00 - 11/01/2022 00:00:00","BZN|FI","1163.10","1212.22","1365.16","1362.20"
"11/01/2022 00:00:00 - 11/01/2022 01:00:00","BZN|FI","1497.31","1665.66","1668.03","1658.90"
"11/01/2022 01:00:00 - 11/01/2022 02:00:00","BZN|FI","1634.89","1903.14","1906.06","1896.80"
"11/01/2022 02:00:00 - 11/01/2022 03:00:00","BZN|FI","1828.95","2077.49","2081.66","2074.50"
"11/01/2022 03:00:00 - 11/01/2022 04:00:00","BZN|FI","2029.44","2178.36","2183.63","2176.70"
"11/01/2022 04:00:00 - 11/01/2022 05:00:00","BZN|FI","2130.61","2237.36","2238.31","2235.10"
"11/01/2022 05:00:00 - 11/01/2022 06:00:00","BZN|FI","2197.17","2268.21","2267.82","2264.20"
"11/01/2022 06:00:00 - 11/01/2022 07:00:00","BZN|FI","2297.15","2318.46","2315.47","2317.90"
"11/01/2022 07:00:00 - 11/01/2022 08:00:00","BZN|FI","2356.62","2374.47","2341.84","2347.10"
"11/01/2022 08:00:00 - 11/01/2022 09:00:00","BZN|FI","2427.99","2420.68","2331.07","2332.90"
"11/01/2022 09:00:00 - 11/01/2022 10:00:00","BZN|FI","2507.44","2475.24","2338.36","2337.80"
"11/01/2022 10:00:00 - 11/01/2022 11:00:00","BZN|FI","2558.76","2526.07","2365.27","2363.90"
