"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|FI","3737.10","3522.80","3736.00","3449.10"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|FI","3837.70","3635.20","3593.70","3559.30"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|FI","3901.20","3708.00","3661.70","3634.30"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|FI","3912.80","3710.00","3747.50","3627.70"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|FI","3917.30","3580.30","3754.40","3499.80"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|FI","3885.60","3442.70","3745.80","3352.80"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|FI","3851.50","3513.80","3674.10","3391.40"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|FI","3788.50","3544.60","3544.60","3233.30"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|FI","3712.60","3525.90","3492.40","3214.40"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|FI","3683.60","3509.90","3355.20","3212.70"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|FI","3672.40","3551.30","3453.50","3248.90"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|FI","3694.10","3559.20","3473.80","3415.70"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|FI","3739.90","3623.40","3504.70","3415.50"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|FI","3754.50","3673.60","3613.10","3254.80"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|FI","3768.40","3708.40","3628.50","3490.30"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|FI","3756.70","3716.90","3553.90","3599.80"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|FI","3753.10","3686.90","3688.40","3502.80"
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|FI","3737.30","3716.50","3693.90","3540.60"
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|FI","3688.60","3768.20","3614.00","3620.20"
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|FI","3609.40","3735.70","3671.20","3675.80"
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|FI","3484.60","3696.10","3701.80","3603.80"
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|FI","3336.40","3560.00","3626.30","3334.90"
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|FI","3195.00","3401.50","3460.30","3298.40"
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|FI","3026.80","3231.90","3170.60","3262.80"
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|FI","3264.80","3321.90","3166.40","3264.30"
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|FI","3137.20","3219.50","3077.60","3165.80"
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|FI","3066.70","3183.80","3050.00","3143.30"
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|FI","2920.00","2915.80","2890.90","2891.50"
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|FI","2686.80","2607.10","2628.20","2577.70"
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|FI","2397.10","2501.60","2332.10","2468.20"
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|FI","2241.50","2292.50","2182.70","2392.00"
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|FI","2175.50","2179.70","2179.70","2178.30"
