"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"02/01/2020 17:00:00 - 02/01/2020 18:00:00","BZN|FI","1520.84","1562.98","1635.93","1666.40"
"02/01/2020 18:00:00 - 02/01/2020 19:00:00","BZN|FI","1525.29","1565.17","1651.45","1684.80"
"02/01/2020 19:00:00 - 02/01/2020 20:00:00","BZN|FI","1518.04","1552.65","1669.44","1695.50"
"02/01/2020 20:00:00 - 02/01/2020 21:00:00","BZN|FI","1511.02","1525.64","1677.55","1703.20"
"02/01/2020 21:00:00 - 02/01/2020 22:00:00","BZN|FI","1497.58","1495.65","1664.42","1701.40"
"02/01/2020 22:00:00 - 02/01/2020 23:00:00","BZN|FI","1492.11","1486.78","1648.01","1691.10"
"02/01/2020 23:00:00 - 03/01/2020 00:00:00","BZN|FI","1503.15","1497.00","1679.64","1710.20"
"03/01/2020 00:00:00 - 03/01/2020 01:00:00","BZN|FI","1549.58","1687.42","1687.34","1717.40"
"03/01/2020 01:00:00 - 03/01/2020 02:00:00","BZN|FI","1580.36","1667.21","1667.48","1701.20"
"03/01/2020 02:00:00 - 03/01/2020 03:00:00","BZN|FI","1604.34","1688.43","1688.70","1725.70"
"03/01/2020 03:00:00 - 03/01/2020 04:00:00","BZN|FI","1618.73","1694.54","1695.53","1728.00"
"03/01/2020 04:00:00 - 03/01/2020 05:00:00","BZN|FI","1625.71","1702.82","1704.84","1727.30"
"03/01/2020 05:00:00 - 03/01/2020 06:00:00","BZN|FI","1629.40","1693.72","1696.03","1718.80"
"03/01/2020 06:00:00 - 03/01/2020 07:00:00","BZN|FI","1631.51","1690.93","1695.17","1716.30"
"03/01/2020 07:00:00 - 03/01/2020 08:00:00","BZN|FI","1632.10","1687.04","1700.26","1722.20"
"03/01/2020 08:00:00 - 03/01/2020 09:00:00","BZN|FI","1633.44","1678.64","1693.92","1715.10"
"03/01/2020 09:00:00 - 03/01/2020 10:00:00","BZN|FI","1628.67","1665.80","1694.89","1714.10"
"03/01/2020 10:00:00 - 03/01/2020 11:00:00","BZN|FI","1613.40","1645.02","1690.14","1717.00"
"03/01/2020 11:00:00 - 03/01/2020 12:00:00","BZN|FI","1593.27","1621.54","1679.45","1708.90"
"03/01/2020 12:00:00 - 03/01/2020 13:00:00","BZN|FI","1565.16","1586.97","1668.48","1699.80"
"03/01/2020 13:00:00 - 03/01/2020 14:00:00","BZN|FI","1535.73","1552.14","1621.15","1652.00"
"03/01/2020 14:00:00 - 03/01/2020 15:00:00","BZN|FI","1521.11","1544.79","1583.00","1625.90"
"03/01/2020 15:00:00 - 03/01/2020 16:00:00","BZN|FI","1513.28","1536.56","1509.06","1549.80"
"03/01/2020 16:00:00 - 03/01/2020 17:00:00","BZN|FI","1502.46","1534.35","1574.29","1608.40"
"03/01/2020 17:00:00 - 03/01/2020 18:00:00","BZN|FI","1487.24","1532.93","1609.59","1638.00"
"03/01/2020 18:00:00 - 03/01/2020 19:00:00","BZN|FI","1477.25","1531.17","1619.58","1649.20"
"03/01/2020 19:00:00 - 03/01/2020 20:00:00","BZN|FI","1490.35","1543.92","1567.79","1581.80"
"03/01/2020 20:00:00 - 03/01/2020 21:00:00","BZN|FI","1510.38","1560.06","1625.24","1654.70"
"03/01/2020 21:00:00 - 03/01/2020 22:00:00","BZN|FI","1516.41","1569.52","1647.19","1677.50"
"03/01/2020 22:00:00 - 03/01/2020 23:00:00","BZN|FI","1498.37","1575.03","1619.60","1674.00"
"03/01/2020 23:00:00 - 04/01/2020 00:00:00","BZN|FI","1449.86","1566.75","1618.16","1652.50"
"04/01/2020 00:00:00 - 04/01/2020 01:00:00","BZN|FI","1548.45","1620.99","1621.42","1660.80"
"04/01/2020 01:00:00 - 04/01/2020 02:00:00","BZN|FI","1530.33","1590.77","1592.96","1633.50"
"04/01/2020 02:00:00 - 04/01/2020 03:00:00","BZN|FI","1498.89","1531.80","1530.11","1568.60"
"04/01/2020 03:00:00 - 04/01/2020 04:00:00","BZN|FI","1463.26","1563.35","1561.58","1594.30"
"04/01/2020 04:00:00 - 04/01/2020 05:00:00","BZN|FI","1409.96","1527.32","1529.97","1563.10"
"04/01/2020 05:00:00 - 04/01/2020 06:00:00","BZN|FI","1353.32","1426.89","1430.43","1440.60"
"04/01/2020 06:00:00 - 04/01/2020 07:00:00","BZN|FI","1310.45","1349.84","1325.32","1332.00"
"04/01/2020 07:00:00 - 04/01/2020 08:00:00","BZN|FI","1268.99","1274.54","1132.86","1145.50"
"04/01/2020 08:00:00 - 04/01/2020 09:00:00","BZN|FI","1218.63","1233.04","1114.09","1130.60"
"04/01/2020 09:00:00 - 04/01/2020 10:00:00","BZN|FI","1261.65","1245.90","1257.41","1271.40"
"04/01/2020 10:00:00 - 04/01/2020 11:00:00","BZN|FI","1320.25","1277.27","1264.89","1283.20"
"04/01/2020 11:00:00 - 04/01/2020 12:00:00","BZN|FI","1344.24","1317.36","1311.39","1338.30"
"04/01/2020 12:00:00 - 04/01/2020 13:00:00","BZN|FI","1383.09","1335.88","1374.79","1398.50"
"04/01/2020 13:00:00 - 04/01/2020 14:00:00","BZN|FI","1428.02","1358.15","1410.70","1447.90"
"04/01/2020 14:00:00 - 04/01/2020 15:00:00","BZN|FI","1476.01","1397.58","1497.09","1524.50"
"04/01/2020 15:00:00 - 04/01/2020 16:00:00","BZN|FI","1523.44","1448.12","1559.93","1593.10"
"04/01/2020 16:00:00 - 04/01/2020 17:00:00","BZN|FI","1566.25","1507.57","1591.43","1619.60"
"04/01/2020 17:00:00 - 04/01/2020 18:00:00","BZN|FI","1604.33","1564.45","1610.46","1637.20"
"04/01/2020 18:00:00 - 04/01/2020 19:00:00","BZN|FI","1625.58","1601.84","1632.88","1659.40"
"04/01/2020 19:00:00 - 04/01/2020 20:00:00","BZN|FI","1630.89","1616.89","1641.38","1666.70"
"04/01/2020 20:00:00 - 04/01/2020 21:00:00","BZN|FI","1621.92","1622.69","1629.19","1657.60"
"04/01/2020 21:00:00 - 04/01/2020 22:00:00","BZN|FI","1597.21","1621.45","1633.32","1667.40"
"04/01/2020 22:00:00 - 04/01/2020 23:00:00","BZN|FI","1552.52","1599.30","1606.45","1683.90"
"04/01/2020 23:00:00 - 05/01/2020 00:00:00","BZN|FI","1494.84","1547.92","1574.58","1596.80"
"05/01/2020 00:00:00 - 05/01/2020 01:00:00","BZN|FI","1490.41","1493.08","1493.68","1514.10"
"05/01/2020 01:00:00 - 05/01/2020 02:00:00","BZN|FI","1409.03","1363.90","1368.15","1385.60"
"05/01/2020 02:00:00 - 05/01/2020 03:00:00","BZN|FI","1279.10","1298.27","1305.10","1322.60"
"05/01/2020 03:00:00 - 05/01/2020 04:00:00","BZN|FI","1104.48","1034.37","1043.45","1048.90"
"05/01/2020 04:00:00 - 05/01/2020 05:00:00","BZN|FI","940.49","936.75","947.58","946.53"
"05/01/2020 05:00:00 - 05/01/2020 06:00:00","BZN|FI","804.94","887.94","896.33","892.87"
"05/01/2020 06:00:00 - 05/01/2020 07:00:00","BZN|FI","685.35","758.53","760.33","764.06"
"05/01/2020 07:00:00 - 05/01/2020 08:00:00","BZN|FI","570.94","642.89","586.68","598.57"
"05/01/2020 08:00:00 - 05/01/2020 09:00:00","BZN|FI","474.58","542.66","513.94","516.87"
"05/01/2020 09:00:00 - 05/01/2020 10:00:00","BZN|FI","428.90","481.68","594.80","597.45"
"05/01/2020 10:00:00 - 05/01/2020 11:00:00","BZN|FI","434.09","465.81","782.91","799.22"
"05/01/2020 11:00:00 - 05/01/2020 12:00:00","BZN|FI","465.87","490.28","956.56","979.10"
"05/01/2020 12:00:00 - 05/01/2020 13:00:00","BZN|FI","512.49","542.54","1041.52","1065.40"
"05/01/2020 13:00:00 - 05/01/2020 14:00:00","BZN|FI","559.64","602.41","996.92","1034.40"
"05/01/2020 14:00:00 - 05/01/2020 15:00:00","BZN|FI","640.14","714.62","1047.62","1088.20"
"05/01/2020 15:00:00 - 05/01/2020 16:00:00","BZN|FI","772.06","866.94","1162.16","1205.20"
"05/01/2020 16:00:00 - 05/01/2020 17:00:00","BZN|FI","895.99","1005.92","1236.53","1276.10"
"05/01/2020 17:00:00 - 05/01/2020 18:00:00","BZN|FI","994.70","1117.08","1373.57","1413.00"
"05/01/2020 18:00:00 - 05/01/2020 19:00:00","BZN|FI","1085.09","1216.05","1441.52","1487.00"
"05/01/2020 19:00:00 - 05/01/2020 20:00:00","BZN|FI","1168.50","1296.85","1471.74","1519.60"
"05/01/2020 20:00:00 - 05/01/2020 21:00:00","BZN|FI","1234.09","1353.72","1550.63","1601.60"
"05/01/2020 21:00:00 - 05/01/2020 22:00:00","BZN|FI","1292.05","1409.72","1557.21","1611.90"
"05/01/2020 22:00:00 - 05/01/2020 23:00:00","BZN|FI","1325.67","1426.68","1534.09","1572.80"
"05/01/2020 23:00:00 - 06/01/2020 00:00:00","BZN|FI","1320.12","1359.84","1438.20","1484.50"
"06/01/2020 00:00:00 - 06/01/2020 01:00:00","BZN|FI","1265.91","1305.86","1306.63","1349.70"
"06/01/2020 01:00:00 - 06/01/2020 02:00:00","BZN|FI","1138.81","1256.15","1258.29","1299.70"
"06/01/2020 02:00:00 - 06/01/2020 03:00:00","BZN|FI","1000.79","1122.46","1127.14","1139.90"
"06/01/2020 03:00:00 - 06/01/2020 04:00:00","BZN|FI","885.57","1021.39","1030.31","1033.30"
"06/01/2020 04:00:00 - 06/01/2020 05:00:00","BZN|FI","829.46","963.25","974.95","977.12"
"06/01/2020 05:00:00 - 06/01/2020 06:00:00","BZN|FI","826.92","996.92","1008.24","1013.00"
"06/01/2020 06:00:00 - 06/01/2020 07:00:00","BZN|FI","827.52","950.12","954.57","963.26"
"06/01/2020 07:00:00 - 06/01/2020 08:00:00","BZN|FI","806.96","922.70","949.72","993.64"
"06/01/2020 08:00:00 - 06/01/2020 09:00:00","BZN|FI","775.88","887.92","973.85","1041.80"
"06/01/2020 09:00:00 - 06/01/2020 10:00:00","BZN|FI","760.21","849.09","998.54","1068.50"
"06/01/2020 10:00:00 - 06/01/2020 11:00:00","BZN|FI","741.71","802.75","1007.08","1062.00"
"06/01/2020 11:00:00 - 06/01/2020 12:00:00","BZN|FI","710.47","758.58","958.36","967.79"
"06/01/2020 12:00:00 - 06/01/2020 13:00:00","BZN|FI","690.50","712.31","950.88","960.76"
"06/01/2020 13:00:00 - 06/01/2020 14:00:00","BZN|FI","673.13","674.33","910.78","911.93"
"06/01/2020 14:00:00 - 06/01/2020 15:00:00","BZN|FI","654.39","678.80","891.49","906.01"
"06/01/2020 15:00:00 - 06/01/2020 16:00:00","BZN|FI","642.70","692.59","931.22","953.12"
"06/01/2020 16:00:00 - 06/01/2020 17:00:00","BZN|FI","649.56","703.39","981.77","1000.50"
"06/01/2020 17:00:00 - 06/01/2020 18:00:00","BZN|FI","682.57","722.14","1019.27","1027.10"
"06/01/2020 18:00:00 - 06/01/2020 19:00:00","BZN|FI","718.37","747.10","1050.98","1059.40"
"06/01/2020 19:00:00 - 06/01/2020 20:00:00","BZN|FI","731.66","771.90","1022.73","1036.40"
"06/01/2020 20:00:00 - 06/01/2020 21:00:00","BZN|FI","741.04","785.02","1074.45","1073.30"
"06/01/2020 21:00:00 - 06/01/2020 22:00:00","BZN|FI","772.21","806.65","1091.71","1080.20"
"06/01/2020 22:00:00 - 06/01/2020 23:00:00","BZN|FI","811.15","830.21","1077.43","1129.10"
"06/01/2020 23:00:00 - 07/01/2020 00:00:00","BZN|FI","858.74","852.10","1175.50","1176.10"
"07/01/2020 00:00:00 - 07/01/2020 01:00:00","BZN|FI","951.16","1164.39","1164.01","1156.80"
"07/01/2020 01:00:00 - 07/01/2020 02:00:00","BZN|FI","967.72","1170.81","1168.16","1157.10"
"07/01/2020 02:00:00 - 07/01/2020 03:00:00","BZN|FI","988.89","1194.89","1195.15","1187.60"
"07/01/2020 03:00:00 - 07/01/2020 04:00:00","BZN|FI","1013.89","1186.97","1190.34","1170.10"
"07/01/2020 04:00:00 - 07/01/2020 05:00:00","BZN|FI","1059.78","1186.83","1191.16","1174.10"
"07/01/2020 05:00:00 - 07/01/2020 06:00:00","BZN|FI","1126.47","1222.70","1227.85","1218.30"
"07/01/2020 06:00:00 - 07/01/2020 07:00:00","BZN|FI","1196.01","1268.91","1333.57","1321.40"
"07/01/2020 07:00:00 - 07/01/2020 08:00:00","BZN|FI","1250.65","1314.45","1408.10","1405.10"
"07/01/2020 08:00:00 - 07/01/2020 09:00:00","BZN|FI","1297.44","1357.76","1424.88","1414.90"
"07/01/2020 09:00:00 - 07/01/2020 10:00:00","BZN|FI","1329.98","1392.11","1436.42","1420.60"
"07/01/2020 10:00:00 - 07/01/2020 11:00:00","BZN|FI","1339.80","1400.95","1459.69","1443.00"
"07/01/2020 11:00:00 - 07/01/2020 12:00:00","BZN|FI","1331.86","1388.63","1464.99","1446.10"
"07/01/2020 12:00:00 - 07/01/2020 13:00:00","BZN|FI","1313.92","1356.09","1443.31","1430.80"
"07/01/2020 13:00:00 - 07/01/2020 14:00:00","BZN|FI","1281.37","1302.06","1422.99","1417.70"
"07/01/2020 14:00:00 - 07/01/2020 15:00:00","BZN|FI","1233.77","1243.07","1362.82","1399.30"
"07/01/2020 15:00:00 - 07/01/2020 16:00:00","BZN|FI","1168.11","1183.96","1303.60","1341.10"
"07/01/2020 16:00:00 - 07/01/2020 17:00:00","BZN|FI","1108.45","1145.73","1245.29","1282.30"
"07/01/2020 17:00:00 - 07/01/2020 18:00:00","BZN|FI","1077.67","1131.72","1193.19","1308.70"
"07/01/2020 18:00:00 - 07/01/2020 19:00:00","BZN|FI","1059.97","1127.05","1181.00","1282.80"
"07/01/2020 19:00:00 - 07/01/2020 20:00:00","BZN|FI","1079.66","1147.25","1218.61","1280.20"
"07/01/2020 20:00:00 - 07/01/2020 21:00:00","BZN|FI","1128.93","1195.00","1266.33","1347.30"
"07/01/2020 21:00:00 - 07/01/2020 22:00:00","BZN|FI","1180.11","1255.90","1315.30","1451.10"
"07/01/2020 22:00:00 - 07/01/2020 23:00:00","BZN|FI","1247.86","1331.23","1394.45","1510.10"
"07/01/2020 23:00:00 - 08/01/2020 00:00:00","BZN|FI","1610.56","1610.56","1610.56","1550.30"
"08/01/2020 00:00:00 - 08/01/2020 01:00:00","BZN|FI","1671.53","1671.53","1671.53","1608.40"
"08/01/2020 01:00:00 - 08/01/2020 02:00:00","BZN|FI","1701.51","1701.51","1701.51","1632.50"
"08/01/2020 02:00:00 - 08/01/2020 03:00:00","BZN|FI","1722.41","1722.41","1722.41","1651.60"
"08/01/2020 03:00:00 - 08/01/2020 04:00:00","BZN|FI","1736.42","1736.42","1736.42","1657.10"
"08/01/2020 04:00:00 - 08/01/2020 05:00:00","BZN|FI","1729.35","1729.35","1729.35","1645.10"
"08/01/2020 05:00:00 - 08/01/2020 06:00:00","BZN|FI","1748.98","1748.98","1748.98","1663.30"
"08/01/2020 06:00:00 - 08/01/2020 07:00:00","BZN|FI","1769.74","1769.74","1769.74","1687.30"
"08/01/2020 07:00:00 - 08/01/2020 08:00:00","BZN|FI","1778.56","1778.56","1778.56","1700.70"
"08/01/2020 08:00:00 - 08/01/2020 09:00:00","BZN|FI","1772.56","1772.56","1772.56","1692.50"
"08/01/2020 09:00:00 - 08/01/2020 10:00:00","BZN|FI","1749.37","1749.37","1749.37","1684.20"
"08/01/2020 10:00:00 - 08/01/2020 11:00:00","BZN|FI","1757.44","1757.44","1757.44","1727.30"
"08/01/2020 11:00:00 - 08/01/2020 12:00:00","BZN|FI","1743.80","1743.80","1743.80","1717.10"
"08/01/2020 12:00:00 - 08/01/2020 13:00:00","BZN|FI","1708.56","1708.56","1708.56","1678.30"
"08/01/2020 13:00:00 - 08/01/2020 14:00:00","BZN|FI","1670.17","1670.17","1670.17","1644.60"
"08/01/2020 14:00:00 - 08/01/2020 15:00:00","BZN|FI","1639.96","1639.96","1639.96","1629.30"
"08/01/2020 15:00:00 - 08/01/2020 16:00:00","BZN|FI","1575.70","1575.70","1575.70","1566.00"
"08/01/2020 16:00:00 - 08/01/2020 17:00:00","BZN|FI","1264.35","1264.35","1264.35","1228.40"
"08/01/2020 17:00:00 - 08/01/2020 18:00:00","BZN|FI","1412.28","1412.28","1412.28","1355.60"
"08/01/2020 18:00:00 - 08/01/2020 19:00:00","BZN|FI","1597.43","1597.43","1597.43","1567.30"
"08/01/2020 19:00:00 - 08/01/2020 20:00:00","BZN|FI","1607.59","1607.59","1607.59","1586.70"
"08/01/2020 20:00:00 - 08/01/2020 21:00:00","BZN|FI","1629.02","1629.02","1629.02","1616.40"
"08/01/2020 21:00:00 - 08/01/2020 22:00:00","BZN|FI","1656.55","1656.55","1656.55","1644.70"
"08/01/2020 22:00:00 - 08/01/2020 23:00:00","BZN|FI","1661.11","1661.11","1661.11","1663.60"
"08/01/2020 23:00:00 - 09/01/2020 00:00:00","BZN|FI","1691.60","1691.60","1691.60","1669.60"
"09/01/2020 00:00:00 - 09/01/2020 01:00:00","BZN|FI","1710.48","1710.48","1710.48","1690.10"
"09/01/2020 01:00:00 - 09/01/2020 02:00:00","BZN|FI","1727.52","1727.52","1727.52","1714.30"
"09/01/2020 02:00:00 - 09/01/2020 03:00:00","BZN|FI","1734.35","1734.35","1734.35","1717.40"
"09/01/2020 03:00:00 - 09/01/2020 04:00:00","BZN|FI","1723.79","1723.79","1723.79","1705.80"
"09/01/2020 04:00:00 - 09/01/2020 05:00:00","BZN|FI","1734.71","1734.71","1734.71","1717.30"
"09/01/2020 05:00:00 - 09/01/2020 06:00:00","BZN|FI","1756.00","1756.00","1756.00","1734.20"
"09/01/2020 06:00:00 - 09/01/2020 07:00:00","BZN|FI","1754.42","1754.42","1754.42","1731.90"
"09/01/2020 07:00:00 - 09/01/2020 08:00:00","BZN|FI","1739.01","1739.01","1739.01","1717.00"
"09/01/2020 08:00:00 - 09/01/2020 09:00:00","BZN|FI","1739.37","1739.37","1739.37","1722.10"
"09/01/2020 09:00:00 - 09/01/2020 10:00:00","BZN|FI","1728.75","1728.75","1728.75","1713.50"
"09/01/2020 10:00:00 - 09/01/2020 11:00:00","BZN|FI","1734.23","1734.23","1734.23","1713.80"
"09/01/2020 11:00:00 - 09/01/2020 12:00:00","BZN|FI","1770.27","1770.27","1770.27","1744.50"
"09/01/2020 12:00:00 - 09/01/2020 13:00:00","BZN|FI","1767.68","1767.68","1767.68","1741.40"
"09/01/2020 13:00:00 - 09/01/2020 14:00:00","BZN|FI","1735.23","1735.23","1735.23","1703.90"
"09/01/2020 14:00:00 - 09/01/2020 15:00:00","BZN|FI","1699.54","1699.54","1699.54","1667.40"
"09/01/2020 15:00:00 - 09/01/2020 16:00:00","BZN|FI","1614.69","1614.69","1614.69","1591.60"
"09/01/2020 16:00:00 - 09/01/2020 17:00:00","BZN|FI","1587.53","1587.53","1587.53","1566.00"
"09/01/2020 17:00:00 - 09/01/2020 18:00:00","BZN|FI","1572.61","1572.61","1572.61","1546.40"
"09/01/2020 18:00:00 - 09/01/2020 19:00:00","BZN|FI","1595.50","1595.50","1595.50","1577.90"
"09/01/2020 19:00:00 - 09/01/2020 20:00:00","BZN|FI","1564.63","1564.63","1564.63","1550.70"
"09/01/2020 20:00:00 - 09/01/2020 21:00:00","BZN|FI","1559.71","1559.71","1559.71","1546.30"
"09/01/2020 21:00:00 - 09/01/2020 22:00:00","BZN|FI","1481.64","1481.64","1481.64","1465.60"
"09/01/2020 22:00:00 - 09/01/2020 23:00:00","BZN|FI","1405.28","1405.28","1405.28","1413.30"
"09/01/2020 23:00:00 - 10/01/2020 00:00:00","BZN|FI","1382.65","1382.65","1382.65","1363.30"
"10/01/2020 00:00:00 - 10/01/2020 01:00:00","BZN|FI","1327.17","1327.17","1327.17","1316.80"
"10/01/2020 01:00:00 - 10/01/2020 02:00:00","BZN|FI","1231.99","1231.99","1231.99","1211.80"
"10/01/2020 02:00:00 - 10/01/2020 03:00:00","BZN|FI","1053.24","1053.24","1053.24","1025.00"
"10/01/2020 03:00:00 - 10/01/2020 04:00:00","BZN|FI","944.97","944.97","944.97","909.42"
"10/01/2020 04:00:00 - 10/01/2020 05:00:00","BZN|FI","978.14","978.14","978.14","942.69"
"10/01/2020 05:00:00 - 10/01/2020 06:00:00","BZN|FI","1032.93","1032.93","1032.93","1000.90"
"10/01/2020 06:00:00 - 10/01/2020 07:00:00","BZN|FI","1013.00","1013.00","1013.00","985.74"
"10/01/2020 07:00:00 - 10/01/2020 08:00:00","BZN|FI","972.67","972.67","972.67","949.80"
"10/01/2020 08:00:00 - 10/01/2020 09:00:00","BZN|FI","949.91","949.91","949.91","927.90"
"10/01/2020 09:00:00 - 10/01/2020 10:00:00","BZN|FI","963.41","963.41","963.41","960.15"
"10/01/2020 10:00:00 - 10/01/2020 11:00:00","BZN|FI","945.07","945.07","945.07","950.29"
"10/01/2020 11:00:00 - 10/01/2020 12:00:00","BZN|FI","1041.24","1041.24","1041.24","1042.60"
"10/01/2020 12:00:00 - 10/01/2020 13:00:00","BZN|FI","1002.43","1002.43","1002.43","995.69"
"10/01/2020 13:00:00 - 10/01/2020 14:00:00","BZN|FI","885.06","885.06","885.06","883.32"
"10/01/2020 14:00:00 - 10/01/2020 15:00:00","BZN|FI","878.26","878.26","878.26","876.75"
"10/01/2020 15:00:00 - 10/01/2020 16:00:00","BZN|FI","898.17","898.17","898.17","894.97"
"10/01/2020 16:00:00 - 10/01/2020 17:00:00","BZN|FI","955.02","955.02","955.02","948.34"
"10/01/2020 17:00:00 - 10/01/2020 18:00:00","BZN|FI","878.85","878.85","878.85","879.10"
"10/01/2020 18:00:00 - 10/01/2020 19:00:00","BZN|FI","930.72","930.72","930.72","920.75"
"10/01/2020 19:00:00 - 10/01/2020 20:00:00","BZN|FI","903.89","903.89","903.89","887.30"
"10/01/2020 20:00:00 - 10/01/2020 21:00:00","BZN|FI","939.42","939.42","939.42","929.59"
"10/01/2020 21:00:00 - 10/01/2020 22:00:00","BZN|FI","915.05","915.05","915.05","907.03"
"10/01/2020 22:00:00 - 10/01/2020 23:00:00","BZN|FI","881.97","881.97","881.97","1046.30"
"10/01/2020 23:00:00 - 11/01/2020 00:00:00","BZN|FI","1004.25","1004.25","1004.25","994.39"
"11/01/2020 00:00:00 - 11/01/2020 01:00:00","BZN|FI","893.17","893.17","893.17","893.01"
"11/01/2020 01:00:00 - 11/01/2020 02:00:00","BZN|FI","749.67","749.67","749.67","747.40"
"11/01/2020 02:00:00 - 11/01/2020 03:00:00","BZN|FI","565.89","565.89","565.89","567.29"
"11/01/2020 03:00:00 - 11/01/2020 04:00:00","BZN|FI","560.09","560.09","560.09","555.68"
"11/01/2020 04:00:00 - 11/01/2020 05:00:00","BZN|FI","606.73","606.73","606.73","602.22"
"11/01/2020 05:00:00 - 11/01/2020 06:00:00","BZN|FI","762.01","762.01","762.01","752.93"
"11/01/2020 06:00:00 - 11/01/2020 07:00:00","BZN|FI","871.41","871.41","871.41","856.02"
