"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|FI","1086.14","1183.84","1184.45","1219.40"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|FI","1006.58","1184.87","1188.98","1196.50"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|FI","902.33","1182.33","1185.03","1189.70"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|FI","800.15","1046.41","1049.04","1050.40"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|FI","751.20","915.78","920.12","916.06"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|FI","760.18","892.30","898.48","897.43"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|FI","806.32","892.70","856.35","862.51"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|FI","874.96","948.70","869.28","879.70"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|FI","960.26","1026.61","938.53","951.86"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|FI","1070.71","1101.87","1037.62","1061.60"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|FI","1192.17","1173.38","1154.98","1186.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|FI","1274.73","1248.60","1263.03","1282.50"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|FI","1325.59","1288.71","1322.90","1356.10"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|FI","1338.42","1290.23","1391.00","1407.60"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|FI","1324.44","1285.83","1389.83","1410.10"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|FI","1314.92","1273.03","1386.93","1410.90"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|FI","1319.90","1270.13","1412.47","1439.30"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|FI","1324.53","1277.39","1372.47","1391.30"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|FI","1321.89","1289.24","1405.82","1417.80"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|FI","1327.73","1314.79","1434.95","1436.30"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|FI","1363.80","1359.54","1487.32","1501.20"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|FI","1395.31","1406.45","1540.46","1566.10"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|FI","1415.72","1434.53","1541.56","1584.80"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|FI","1434.61","1442.66","1557.83","1583.00"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|FI","1477.86","1602.70","1602.86","1629.90"
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|FI","1470.44","1626.17","1626.10","1654.20"
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|FI","1457.64","1617.18","1617.95","1648.20"
"02/01/2020 03:00:00 - 02/01/2020 04:00:00","BZN|FI","1430.41","1635.94","1638.94","1668.60"
"02/01/2020 04:00:00 - 02/01/2020 05:00:00","BZN|FI","1397.49","1626.26","1630.97","1661.00"
"02/01/2020 05:00:00 - 02/01/2020 06:00:00","BZN|FI","1365.10","1524.29","1530.35","1556.30"
"02/01/2020 06:00:00 - 02/01/2020 07:00:00","BZN|FI","1336.04","1486.23","1488.93","1514.20"
"02/01/2020 07:00:00 - 02/01/2020 08:00:00","BZN|FI","1328.19","1469.77","1467.26","1496.10"
"02/01/2020 08:00:00 - 02/01/2020 09:00:00","BZN|FI","1341.20","1452.32","1480.63","1515.50"
"02/01/2020 09:00:00 - 02/01/2020 10:00:00","BZN|FI","1357.10","1437.32","1517.42","1564.40"
"02/01/2020 10:00:00 - 02/01/2020 11:00:00","BZN|FI","1377.07","1453.69","1528.64","1571.30"
"02/01/2020 11:00:00 - 02/01/2020 12:00:00","BZN|FI","1405.85","1493.12","1568.89","1594.30"
"02/01/2020 12:00:00 - 02/01/2020 13:00:00","BZN|FI","1434.13","1506.77","1606.04","1641.50"
"02/01/2020 13:00:00 - 02/01/2020 14:00:00","BZN|FI","1450.62","1506.07","1644.17","1678.40"
"02/01/2020 14:00:00 - 02/01/2020 15:00:00","BZN|FI","1475.48","1519.80","1661.54","1693.00"
"02/01/2020 15:00:00 - 02/01/2020 16:00:00","BZN|FI","1494.55","1536.90","1692.55","1726.20"
"02/01/2020 16:00:00 - 02/01/2020 17:00:00","BZN|FI","1507.42","1552.93","1684.74","1713.80"
